id	gene	loc	timeline	group	ko	type
#methods	no	no	no	no	no	no
#descriptions	gene name	leaf_or_stem	week	group	KO_or_OE	type
Z_adt3456_phos_L_2wk_KO	adt3456	L	2	phos_adt3456_L	KO	phos
Z_adt3456_phos_L_4wk_KO	adt3456	L	4	phos_adt3456_L	KO	phos
Z_adt3456_phos_S_4wk_KO	adt3456	S	4	phos_adt3456_S	KO	phos
Z_adt3456_phos_L_6wk_KO	adt3456	L	6	phos_adt3456_L	KO	phos
Z_adt3456_phos_S_6wk_KO	adt3456	S	6	phos_adt3456_S	KO	phos
Z_adt3456_phos_S_8wk_KO	adt3456	S	8	phos_adt3456_S	KO	phos
Z_adt3456_WC_L_2wk_KO	adt3456	L	2	WC_adt3456_L	KO	WC
Z_adt3456_WC_L_4wk_KO	adt3456	L	4	WC_adt3456_L	KO	WC
Z_adt3456_Tran_L_4wk_KO	adt3456	L	4	Tran_adt3456_L	KO	Tran
Z_adt3456_WC_S_4wk_KO	adt3456	S	4	WC_adt3456_S	KO	WC
Z_adt3456_Tran_S_4wk_KO	adt3456	S	4	Tran_adt3456_S	KO	Tran
Z_adt3456_WC_L_6wk_KO	adt3456	L	6	WC_adt3456_L	KO	WC
Z_adt3456_WC_S_6wk_KO	adt3456	S	6	WC_adt3456_S	KO	WC
Z_adt3456_WC_S_8wk_KO	adt3456	S	8	WC_adt3456_S	KO	WC
Z_AtADT5mW_phos_L_2wk_KO	AtADT5mW	L	2	phos_AtADT5mW_L	OE	phos
Z_AtADT5mW_phos_L_4wk_KO	AtADT5mW	L	4	phos_AtADT5mW_L	OE	phos
Z_AtADT5mW_phos_S_4wk_KO	AtADT5mW	S	4	phos_AtADT5mW_S	OE	phos
Z_AtADT5mW_phos_L_6wk_KO	AtADT5mW	L	6	phos_AtADT5mW_L	OE	phos
Z_AtADT5mW_phos_S_6wk_KO	AtADT5mW	S	6	phos_AtADT5mW_S	OE	phos
Z_AtADT5mW_phos_S_8wk_KO	AtADT5mW	S	8	phos_AtADT5mW_S	OE	phos
Z_AtADT5mW_WC_L_2wk_KO	AtADT5mW	L	2	WC_AtADT5mW_L	OE	WC
Z_AtADT5mW_WC_L_4wk_KO	AtADT5mW	L	4	WC_AtADT5mW_L	OE	WC
Z_AtADT5mW_Tran_L_4wk_KO	AtADT5mW	L	4	Tran_AtADT5mW_L	OE	Tran
Z_AtADT5mW_WC_S_4wk_KO	AtADT5mW	S	4	WC_AtADT5mW_S	OE	WC
Z_AtADT5mW_Tran_S_4wk_KO	AtADT5mW	S	4	Tran_AtADT5mW_S	OE	Tran
Z_AtADT5mW_WC_L_6wk_KO	AtADT5mW	L	6	WC_AtADT5mW_L	OE	WC
Z_AtADT5mW_WC_S_6wk_KO	AtADT5mW	S	6	WC_AtADT5mW_S	OE	WC
Z_AtADT5mW_WC_S_8wk_KO	AtADT5mW	S	8	WC_AtADT5mW_S	OE	WC
